DEPTH            CAL           CNCF             DT             GR          MLR1C          MLR2C          MLR3C          MLR4C             PE           PHIT             RD           RMLL             RS          SPWDH           ZDEN 
       4435.40      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.4560      -999.2500
       4435.50      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.3290      -999.2500
       4435.60      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.2940      -999.2500
       4435.70      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.3660      -999.2500
       4435.80      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.4830      -999.2500
       4435.90      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.6030      -999.2500
       4436.00      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.7250      -999.2500
       4436.10      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.8620      -999.2500
       4436.20      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.0010      -999.2500
       4436.30      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.1350      -999.2500
       4436.40      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.2860      -999.2500
       4436.50      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.4830      -999.2500
       4436.60      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7350      -999.2500
       4436.70      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.0060      -999.2500
       4436.80      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.2330      -999.2500
