DEPTH            CAL           CNCF         DT24QI             GR          MLR1C          MLR2C          MLR3C          MLR4C             PE           RMLL            RTM           ZDEN 
       4749.60      -999.2500    -999.250000      -999.2500        95.9411      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4749.70      -999.2500    -999.250000      -999.2500        95.5789      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4749.80      -999.2500    -999.250000      -999.2500        96.1551      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4749.90      -999.2500    -999.250000      -999.2500        97.1228      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.00      -999.2500    -999.250000      -999.2500        97.7198      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.10      -999.2500    -999.250000      -999.2500        97.2092      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.20      -999.2500    -999.250000      -999.2500        95.9643      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.30      -999.2500    -999.250000      -999.2500        94.7462      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.40      -999.2500    -999.250000      -999.2500        94.3768      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.50      -999.2500    -999.250000      -999.2500        94.8749      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.60      -999.2500    -999.250000      -999.2500        95.6978      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.70      -999.2500    -999.250000      -999.2500        96.2746      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.80      -999.2500    -999.250000      -999.2500        96.3183      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4750.90      -999.2500    -999.250000      -999.2500        95.9379      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.00      -999.2500    -999.250000      -999.2500        95.3537      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.10      -999.2500    -999.250000      -999.2500        94.5942      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.20      -999.2500    -999.250000      -999.2500        93.6389      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.30      -999.2500    -999.250000      -999.2500        92.6694      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.40      -999.2500    -999.250000      -999.2500        92.0847      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.50      -999.2500    -999.250000      -999.2500        91.9931      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.60      -999.2500    -999.250000      -999.2500        92.3770      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.70      -999.2500    -999.250000      -999.2500        93.2068      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.80      -999.2500    -999.250000      -999.2500        94.3074      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4751.90      -999.2500    -999.250000      -999.2500        95.6535      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.00      -999.2500    -999.250000      -999.2500        97.0918      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.10      -999.2500    -999.250000      -999.2500        98.0290      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.20      -999.2500    -999.250000      -999.2500        97.8075      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.30      -999.2500    -999.250000      -999.2500        96.0195      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.40      -999.2500    -999.250000      -999.2500        93.3754      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.50      -999.2500    -999.250000      -999.2500        91.1250      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.60      -999.2500    -999.250000      -999.2500        90.2467      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.70      -999.2500    -999.250000      -999.2500        90.9477      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.80      -999.2500    -999.250000      -999.2500        92.2668      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4752.90      -999.2500    -999.250000      -999.2500        93.2914      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4753.00      -999.2500    -999.250000      -999.2500        93.2657      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4753.10      -999.2500    -999.250000      -999.2500        92.5275      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4753.20      -999.2500    -999.250000      -999.2500        91.5927      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4753.30      -999.2500    -999.250000      -999.2500        91.2512      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4753.40      -999.2500    -999.250000      -999.2500        91.8230      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4753.50      -999.2500    -999.250000      -999.2500        93.0285      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
       4753.60      -999.2500    -999.250000      -999.2500        94.3104      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500
