DEPT          TVD         ROP5           GR         A34H         P16H         P28H         P34H      TAB_RES     TEMP_DNI 
       5036.00000   4367.50544      -999.25     59.99023    187.77020      0.16839      1.41916      3.92702      1.01678    130.50000
       5036.10000   4367.57532      -999.25     60.45306    170.52870      0.16873      1.59925      4.05978      1.01826    130.50000
       5036.20000   4367.64519      -999.25     59.76833    100.35910      0.20352      1.81584      4.29746      1.01965    130.50000
       5036.30000   4367.71507      -999.25     58.53241     88.48093      0.41658      1.60751      4.86526      1.28705    130.50000
       5036.40000   4367.78495      -999.25     57.30514     90.19862      0.51215      1.42814      4.61661      1.48402    130.50000
       5036.50000   4367.85482      -999.25     56.20047    103.44640      0.37442      1.38092      2.92497      1.50998    130.50000
       5036.60000   4367.92470      -999.25     53.43716     99.51367      0.34628      2.01379      4.46875      1.53170    130.50000
       5036.70000   4367.99457      -999.25     51.37422     88.45898      0.32753      2.25118      5.58814      1.55046    130.50000
       5036.80000   4368.06445      -999.25     51.39282     68.97004      0.28741      1.40907      4.61210      1.56466    130.50000
       5036.90000   4368.13433      -999.25     52.39985     47.08119      0.40535      1.28082      3.46880      1.59860    130.50000
       5037.00000   4368.20420      -999.25     53.12160     44.46054      0.46373      1.36257      3.84284      1.62855    130.50000
       5037.10000   4368.27407      -999.25     52.44680     93.95786      0.26223      1.52701      8.30687      1.63506    130.50000
       5037.20000   4368.34395      -999.25     52.62948     89.35322      0.23398      1.48791     10.34998      1.64644    130.74670
       5037.30000   4368.41382      -999.25     53.11820     71.70123      0.26986      1.54153     11.36944      1.66058    131.07480
       5037.40000   4368.48370      -999.25     53.68568     70.28414      0.32939      2.13642     11.62613      1.67863    131.40290
       5037.50000   4368.55357      -999.25     53.37277     74.45564      0.32629      1.69655     11.97034      1.86047    131.73100
       5037.60000   4368.62344      -999.25     52.81465     75.47142      0.29270      0.98590     11.38964      2.06647    132.00000
       5037.70000   4368.69332      -999.25     52.82582     51.40681      0.24017      1.02371      6.42784      2.06873    132.00000
       5037.80000   4368.76319      -999.25     51.72122     40.54080      0.21742      1.07345      4.84759      2.06969    131.35430
       5037.90000   4368.83306      -999.25     50.48986     35.30997      0.21883      1.11877      5.06233      2.07014    130.62990
       5038.00000   4368.90293      -999.25     52.27245     21.62248      0.27644      1.09396      5.42006      2.07168    131.61420
       5038.10000   4368.97280      -999.25     54.37151     18.15915      0.36103      1.11167      4.46062      2.07641    131.70080
       5038.20000   4369.04268      -999.25     56.31197     21.94340      0.45907      1.15431      3.01971      2.08338    131.20870
       5038.30000   4369.11255      -999.25     54.29784     32.87777      0.51397      1.16996      5.58906      2.09207    130.71650
       5038.40000   4369.18242      -999.25     53.10726     41.87527      0.62528      2.32893      5.42869      2.09888    131.05120
       5038.50000   4369.25229      -999.25     52.59052     48.93752      0.76709      4.25318      3.17672      2.10432    132.00000
       5038.60000   4369.32216      -999.25     52.79069     44.92842      0.53815      2.61497      2.34858      2.11264    132.00000
       5038.70000   4369.39203      -999.25     54.49600     48.65982      0.34059      2.03516      5.47930      2.11880    132.00000
       5038.80000   4369.46190      -999.25     57.63592     59.76888      0.17292      2.46416     12.38330      2.12289    132.00000
       5038.90000   4369.53177      -999.25     68.10392     71.07085      0.13297      3.43908     11.78678      2.13909    132.00000
       5039.00000   4369.60164      -999.25     78.39709     85.06213      0.12787      3.44492     11.21902      2.14960    132.00000
       5039.10000   4369.67151      -999.25     88.38551    102.15730      0.16122      2.32366     10.78971      2.15338    132.00000
       5039.20000   4369.74138      -999.25     95.62561     79.85159      0.27900      4.13682     19.59857      2.15676    132.00000
       5039.30000   4369.81125      -999.25     97.24905     58.47596      0.31989      4.44609     20.54264      2.16071    132.00000
       5039.40000   4369.88112      -999.25     91.23382     41.93670      0.24529      2.38118      9.61793      2.16548    132.00000
       5039.50000   4369.95098      -999.25     98.33997     42.37542      0.23811      2.11274      6.38039      2.17700    131.56100
       5039.60000   4370.02085      -999.25    103.12550     43.43372      0.22838      1.86734      6.71920      2.18651    131.06890
       5039.70000   4370.09072      -999.25    101.19720     42.02575      0.20022      1.28797     11.60156      2.19116    130.57680
