DEPT          TVD           GR      TAB_DEN      TAB_RES         ROP5         DCAV         CRPM         A34H         P16H         P28H         P34H         TNPH          PEF         DRHO         RHOB 
       4700.00000   4597.81631     44.99395      0.00000      0.00000      -999.25      8.02779      -999.25     21.08688      0.10000      1.61327    105.07640      5.91340    809.91560     -0.91194      2.27759
       4700.10000   4597.90617     42.97399      0.00000      0.00000      -999.25      8.04051      -999.25    110.28110      0.10000      0.10000      0.10000      6.05006    825.83090     -0.96929      2.23406
       4700.20000   4597.99604     41.88310      0.00000      0.00000     37.31568      8.04417      -999.25    200.00000      0.10000      0.10708      0.39654      6.18020    834.96810     -1.00319      2.20758
       4700.30000   4598.08591     42.01030      0.00000      0.00000     35.60080      8.04782      -999.25    200.00000      0.10000      0.12949      1.33498      6.18025    823.93260     -0.96832      2.23408
       4700.40000   4598.17577     42.74197      0.00000      0.00000     36.18096      8.05147      -999.25    200.00000      0.10000      0.11641      0.78693      6.18849    810.24130     -0.91528      2.27314
       4700.50000   4598.26564     43.59829      0.00000      0.00000     36.75977      8.05513      -999.25    200.00000      0.10000      0.10000      0.10000      6.23323    798.01690     -0.86928      2.30972
       4700.60000   4598.35550     44.36150      0.00000      0.00000     35.68863      8.05878      -999.25    200.00000      0.10000      0.10000      0.10000      6.37180    791.70450     -0.85556      2.33051
       4700.70000   4598.44537     44.93544      0.00000      0.00000     35.31762      8.06243      -999.25    102.41100      0.10000      0.10000      0.10000      6.39661    801.42740     -0.87612      2.30120
       4700.80000   4598.53524     45.33230      0.00000      0.00000     35.17572      8.06609      -999.25     28.95695      0.10000      0.13721      0.10116      6.40095    816.66770     -0.90848      2.25466
       4700.90000   4598.62510     45.33230      0.00000      0.00000     34.99202      8.06974      -999.25    160.12490      0.10000      0.30636      0.10646      6.47153    831.90810     -0.94085      2.20812
       4701.00000   4598.71497     45.15524      0.00000      0.00000     34.92445      8.07339      -999.25    200.00000      0.10000      0.31186      0.19362      6.46477    835.82500     -0.95014      2.19601
       4701.10000   4598.80484     45.11962      0.00000      0.00000     34.90930      8.07705      -999.25    200.00000      0.10000      0.23948      0.27334      6.43643    834.47270     -0.94559      2.19989
       4701.20000   4598.89470     46.13724      0.00000      0.00000     34.90232      8.08070      -999.25    200.00000      0.10000      0.13631      0.14513      6.46676    831.56380     -0.92291      2.20829
