深度,x,y,方位角,倾角,开度,裂缝
4764.921369,418103.977,4253340.8,111.2509,35.44947,-9999,Conductive fracture
4757.465817,418103.977,4253340.8,96.20143,27.41719,0.000689385,Conductive fracture
4641.983665,418103.977,4253340.8,91.04562,46.56451,0.000739333,Conductive fracture
4640.967459,418103.977,4253340.8,95.40266,40.26186,0.000742028,Conductive fracture
4737.094639,418103.977,4253340.8,329.0516,33.24,0.000753285,Conductive fracture
4643.079466,418103.977,4253340.8,70.73661,51.37635,0.000753346,Conductive fracture
4643.12391,418103.977,4253340.8,78.67173,47.01854,0.000758823,Conductive fracture
4514.295829,418103.977,4253340.8,275.2624,63.65271,0.000806527,Conductive fracture
4573.456222,418103.977,4253340.8,255.0922,36.13073,0.000820223,Conductive fracture
4632.436489,418103.977,4253340.8,79.92467,42.15599,0.000874879,Conductive fracture
4574.327796,418103.977,4253340.8,251.6608,25.35753,0.000878137,Conductive fracture
4631.265248,418103.977,4253340.8,66.42372,52.42377,0.000878437,Conductive fracture
4585.487036,418103.977,4253340.8,95.86587,51.96049,0.000898379,Conductive fracture
4632.439495,418103.977,4253340.8,152.6428,45.98017,0.000910736,Conductive fracture
4487.731803,418103.977,4253340.8,216.2152,49.98989,0.00098226,Conductive fracture
4631.615527,418103.977,4253340.8,65.71007,35.68998,0.000990073,Conductive fracture
4631.49223,418103.977,4253340.8,95.25055,61.14886,0.001011087,Conductive fracture
4641.475898,418103.977,4253340.8,214.7414,49.61317,0.001023444,Conductive fracture
4630.372155,418103.977,4253340.8,270.472,56.52707,0.001039781,Conductive fracture
4684.518342,418103.977,4253340.8,147.2551,38.00908,0.001093936,Conductive fracture
4625.781449,418103.977,4253340.8,66.87875,25.91641,0.001094638,Conductive fracture
4720.64826,418103.977,4253340.8,166.1833,38.29594,0.001122349,Conductive fracture
4643.194519,418103.977,4253340.8,78.77634,50.09617,0.001140898,Conductive fracture
4756.713772,418103.977,4253340.8,29.28773,24.82843,0.001160839,Conductive fracture
4632.140842,418103.977,4253340.8,62.68663,36.58712,0.001176617,Conductive fracture
4615.629985,418103.977,4253340.8,48.23001,46.24201,0.001228501,Conductive fracture
4642.067358,418103.977,4253340.8,209.3643,47.04878,0.001291735,Conductive fracture
4632.57335,418103.977,4253340.8,127.9688,43.36021,0.001298663,Conductive fracture
4641.794149,418103.977,4253340.8,95.79073,55.26847,0.001307855,Conductive fracture
4512.682217,418103.977,4253340.8,193.3408,57.16269,0.001392808,Conductive fracture
4628.08904,418103.977,4253340.8,88.97523,53.16002,0.001404103,Conductive fracture
4669.984042,418103.977,4253340.8,348.0919,40.61945,0.001417566,Conductive fracture
4573.104169,418103.977,4253340.8,266.3196,35.02507,0.00142069,Conductive fracture
4651.517829,418103.977,4253340.8,151.2625,45.63255,0.001463087,Conductive fracture
4684.540852,418103.977,4253340.8,348.6478,27.52203,0.001470292,Conductive fracture
4737.194993,418103.977,4253340.8,287.5428,38.02042,0.001472914,Conductive fracture
4628.400346,418103.977,4253340.8,72.82503,42.58305,0.001522,Conductive fracture
4528.879837,418103.977,4253340.8,108.9339,20.9946,0.001537087,Conductive fracture
4630.095332,418103.977,4253340.8,80.70238,40.85827,0.001546746,Conductive fracture
4487.518151,418103.977,4253340.8,249.8233,37.60593,0.001568057,Conductive fracture
4585.069581,418103.977,4253340.8,223.6684,32.87663,0.001596355,Conductive fracture
4632.562333,418103.977,4253340.8,78.25613,39.13234,0.001607391,Conductive fracture
4631.753337,418103.977,4253340.8,118.4425,55.52902,0.001611965,Conductive fracture
4642.67504,418103.977,4253340.8,220.3946,48.10452,0.001619049,Conductive fracture
4669.10943,418103.977,4253340.8,91.46228,62.68896,0.001628645,Conductive fracture
4534.504412,418103.977,4253340.8,172.2787,50.39895,0.001643474,Conductive fracture
4701.222719,418103.977,4253340.8,326.6263,44.57618,0.001664162,Conductive fracture
4633.481182,418103.977,4253340.8,59.36677,44.712,0.001689815,Conductive fracture
4744.637237,418103.977,4253340.8,162.5167,37.13512,0.001708835,Conductive fracture
4632.384381,418103.977,4253340.8,247.019,39.44139,0.001723553,Conductive fracture
4631.374698,418103.977,4253340.8,67.54222,40.76575,0.001769492,Conductive fracture
4630.615177,418103.977,4253340.8,41.6452,42.40275,0.001781072,Conductive fracture
4628.463879,418103.977,4253340.8,66.67519,56.24899,0.001806971,Conductive fracture
4719.072635,418103.977,4253340.8,207.6853,35.41962,0.001816242,Conductive fracture
4700.828155,418103.977,4253340.8,341.6637,27.65967,0.001822994,Conductive fracture
4641.553224,418103.977,4253340.8,75.83796,56.99725,0.001928501,Conductive fracture
4486.668317,418103.977,4253340.8,245.9785,37.19728,0.001940562,Conductive fracture
4647.790957,418103.977,4253340.8,156.329,37.24258,0.001957558,Conductive fracture
4681.840979,418103.977,4253340.8,319.278,58.92147,0.00197509,Conductive fracture
4715.903184,418103.977,4253340.8,205.7265,4.306458,0.001980826,Conductive fracture
4510.728771,418103.977,4253340.8,30.74364,22.55821,0.00198392,Conductive fracture
4627.759244,418103.977,4253340.8,56.83253,44.13826,0.001988597,Conductive fracture
4574.143682,418103.977,4253340.8,254.8928,25.55213,0.001993304,Conductive fracture
4669.003645,418103.977,4253340.8,116.0855,41.57706,0.002006974,Conductive fracture
4731.664234,418103.977,4253340.8,199.1709,47.85807,0.002038041,Conductive fracture
4475.512572,418103.977,4253340.8,240.8063,38.89111,0.002042836,Conductive fracture
4684.803582,418103.977,4253340.8,21.90793,36.79495,0.00204335,Conductive fracture
4487.256094,418103.977,4253340.8,53.71861,54.17691,0.002080865,Conductive fracture
4633.686942,418103.977,4253340.8,26.81643,56.59538,0.002083448,Conductive fracture
4681.703313,418103.977,4253340.8,316.1914,39.16378,0.002091612,Conductive fracture
4700.886946,418103.977,4253340.8,354.0793,33.46413,0.002094944,Conductive fracture
4531.643217,418103.977,4253340.8,243.0753,45.9843,0.002126842,Conductive fracture
4583.741164,418103.977,4253340.8,217.0367,47.27793,0.002130175,Conductive fracture
4744.267079,418103.977,4253340.8,292.1667,46.80381,0.002148176,Conductive fracture
4475.703769,418103.977,4253340.8,288.5071,27.93728,0.002165903,Conductive fracture
4632.184058,418103.977,4253340.8,156.6014,54.63175,0.002174054,Conductive fracture
4631.120173,418103.977,4253340.8,67.21127,42.5455,0.002174651,Conductive fracture
4534.772995,418103.977,4253340.8,45.26195,22.15162,0.002175701,Conductive fracture
4684.062552,418103.977,4253340.8,54.70151,48.49825,0.002177503,Conductive fracture
4667.997163,418103.977,4253340.8,171.6916,42.37449,0.002199562,Conductive fracture
4627.735699,418103.977,4253340.8,28.24073,38.0658,0.002202728,Conductive fracture
4630.605488,418103.977,4253340.8,198.698,50.25307,0.002208808,Conductive fracture
4642.273434,418103.977,4253340.8,87.36401,38.02698,0.002229467,Conductive fracture
4625.721267,418103.977,4253340.8,69.96965,18.37341,0.002231208,Conductive fracture
4630.226053,418103.977,4253340.8,65.02984,43.28312,0.00223865,Conductive fracture
4474.950028,418103.977,4253340.8,13.86864,44.97083,0.002245426,Conductive fracture
4668.131171,418103.977,4253340.8,161.1978,45.70514,0.002260416,Conductive fracture
4632.794585,418103.977,4253340.8,278.904,56.98926,0.002275527,Conductive fracture
4731.919637,418103.977,4253340.8,198.3198,19.8632,0.002276426,Conductive fracture
4506.076445,418103.977,4253340.8,219.5363,46.35673,0.002288869,Conductive fracture
4531.199153,418103.977,4253340.8,252.032,38.13405,0.002300842,Conductive fracture
4499.668997,418103.977,4253340.8,277.3542,36.28331,0.002310777,Conductive fracture
4534.334196,418103.977,4253340.8,15.0741,47.16917,0.002315896,Conductive fracture
4647.711341,418103.977,4253340.8,154.49,32.06778,0.002323853,Conductive fracture
4674.912952,418103.977,4253340.8,52.52036,63.04163,0.002349872,Conductive fracture
4553.831024,418103.977,4253340.8,178.0743,60.01227,0.002400949,Conductive fracture
4509.492824,418103.977,4253340.8,266.9675,44.06218,0.002410729,Conductive fracture
4529.855447,418103.977,4253340.8,12.25737,54.62992,0.002435352,Conductive fracture
4526.938892,418103.977,4253340.8,268.7908,40.73926,0.002455833,Conductive fracture
4633.479338,418103.977,4253340.8,113.0355,38.33734,0.002458576,Conductive fracture
4628.1761,418103.977,4253340.8,87.43687,62.12325,0.002476905,Conductive fracture
4630.479486,418103.977,4253340.8,45.28909,57.83735,0.002480553,Conductive fracture
4684.116505,418103.977,4253340.8,35.11043,41.89284,0.002491572,Conductive fracture
4678.028503,418103.977,4253340.8,18.97488,51.08352,0.002495709,Conductive fracture
4594.617257,418103.977,4253340.8,173.8402,50.89437,0.002507539,Conductive fracture
4563.839208,418103.977,4253340.8,76.56725,12.56014,0.002509103,Conductive fracture
4584.720948,418103.977,4253340.8,234.9018,28.39562,0.002515062,Conductive fracture
4576.569716,418103.977,4253340.8,236.0291,33.91097,0.002515109,Conductive fracture
4513.253485,418103.977,4253340.8,243.1008,50.57573,0.002522049,Conductive fracture
4534.824934,418103.977,4253340.8,116.4688,28.21268,0.002532696,Conductive fracture
4509.610868,418103.977,4253340.8,261.6407,45.8507,0.00253799,Conductive fracture
4587.067437,418103.977,4253340.8,239.6323,50.9686,0.002541747,Conductive fracture
4498.7923,418103.977,4253340.8,338.1153,24.67131,0.002545866,Conductive fracture
4630.494655,418103.977,4253340.8,68.00927,56.61798,0.002570221,Conductive fracture
4475.369541,418103.977,4253340.8,225.5367,38.69992,0.002570403,Conductive fracture
4486.738289,418103.977,4253340.8,125.5489,55.79985,0.002584223,Conductive fracture
4668.454534,418103.977,4253340.8,138.629,39.32146,0.002593473,Conductive fracture
4600.309219,418103.977,4253340.8,64.83801,63.56831,0.002596264,Conductive fracture
4531.478234,418103.977,4253340.8,180.8252,52.12561,0.002622435,Conductive fracture
4579.949197,418103.977,4253340.8,208.1889,49.44954,0.002635983,Conductive fracture
4681.931769,418103.977,4253340.8,327.6648,57.73419,0.002639856,Conductive fracture
4716.448844,418103.977,4253340.8,176.4603,34.28598,0.002642584,Conductive fracture
4716.340931,418103.977,4253340.8,208.4096,38.44411,0.002653729,Conductive fracture
4533.575611,418103.977,4253340.8,54.30614,66.52603,0.002671652,Conductive fracture
4523.149739,418103.977,4253340.8,358.2853,33.21128,0.002701671,Conductive fracture
4549.119051,418103.977,4253340.8,188.1429,52.737,0.002703571,Conductive fracture
4684.832903,418103.977,4253340.8,81.30788,59.26091,0.002712312,Conductive fracture
4678.121263,418103.977,4253340.8,356.8398,56.20956,0.002723156,Conductive fracture
4628.894842,418103.977,4253340.8,79.3435,41.18015,0.002730444,Conductive fracture
4527.811367,418103.977,4253340.8,48.98943,35.18971,0.002755702,Conductive fracture
4678.88585,418103.977,4253340.8,257.8032,35.67595,0.002762897,Conductive fracture
4627.47714,418103.977,4253340.8,283.2757,62.69507,0.002766204,Conductive fracture
4731.909448,418103.977,4253340.8,303.6845,40.11721,0.002769785,Conductive fracture
4512.59563,418103.977,4253340.8,195.6117,60.659,0.00277433,Conductive fracture
4682.029422,418103.977,4253340.8,306.0945,47.81925,0.002777859,Conductive fracture
4716.716649,418103.977,4253340.8,218.9261,30.24001,0.002778736,Conductive fracture
4598.082944,418103.977,4253340.8,231.5942,61.64294,0.002783653,Conductive fracture
4670.383116,418103.977,4253340.8,347.4962,37.56167,0.002807095,Conductive fracture
4512.39522,418103.977,4253340.8,280.222,65.22538,0.002829025,Conductive fracture
4633.788464,418103.977,4253340.8,84.75108,37.74061,0.002851966,Conductive fracture
4744.242605,418103.977,4253340.8,190.1428,39.43172,0.002905442,Conductive fracture
4628.568591,418103.977,4253340.8,102.1902,22.71956,0.002907578,Conductive fracture
4668.252273,418103.977,4253340.8,204.0036,36.08538,0.002928532,Conductive fracture
4552.972832,418103.977,4253340.8,274.3573,32.02306,0.002963618,Conductive fracture
4471.164763,418103.977,4253340.8,46.08572,38.51921,0.002965358,Conductive fracture
4628.854203,418103.977,4253340.8,68.0343,40.85162,0.002991062,Conductive fracture
4592.606082,418103.977,4253340.8,356.9915,22.8754,0.002994372,Conductive fracture
4669.492559,418103.977,4253340.8,345.2985,59.73423,0.003000573,Conductive fracture
4580.064179,418103.977,4253340.8,204.9376,47.49746,0.003019194,Conductive fracture
4494.258523,418103.977,4253340.8,260.5414,44.24976,0.003061217,Conductive fracture
4669.390077,418103.977,4253340.8,123.409,34.03613,0.003062358,Conductive fracture
4629.872017,418103.977,4253340.8,80.23337,52.43238,0.00306257,Conductive fracture
4499.546586,418103.977,4253340.8,342.9327,22.05352,0.003091263,Conductive fracture
4762.335735,418103.977,4253340.8,30.70666,10.57915,0.003103145,Conductive fracture
4589.275027,418103.977,4253340.8,22.63821,52.81829,0.003103315,Conductive fracture
4538.555888,418103.977,4253340.8,306.1468,34.84056,0.003106814,Conductive fracture
4574.999806,418103.977,4253340.8,240.237,50.17864,0.003108485,Conductive fracture
4682.863601,418103.977,4253340.8,281.0811,15.46602,0.003138444,Conductive fracture
4512.52205,418103.977,4253340.8,257.2025,67.97114,0.003139949,Conductive fracture
4493.055304,418103.977,4253340.8,235.5773,40.19592,0.00316078,Conductive fracture
4684.230612,418103.977,4253340.8,0.8019443,28.3792,0.003190706,Conductive fracture
4526.444245,418103.977,4253340.8,285.2205,22.64614,0.00319739,Conductive fracture
4585.93094,418103.977,4253340.8,100.6877,64.18484,0.003198071,Conductive fracture
4628.787821,418103.977,4253340.8,71.25027,46.51268,0.003202267,Conductive fracture
4474.717159,418103.977,4253340.8,245.1623,64.08748,0.003209931,Conductive fracture
4592.756184,418103.977,4253340.8,181.8134,54.60939,0.00322274,Conductive fracture
4716.630968,418103.977,4253340.8,211.9491,19.57361,0.00323068,Conductive fracture
4681.659369,418103.977,4253340.8,336.8794,45.53889,0.003243119,Conductive fracture
4720.407519,418103.977,4253340.8,197.5258,25.60373,0.003244213,Conductive fracture
4682.152887,418103.977,4253340.8,278.8336,31.38005,0.00324452,Conductive fracture
4459.32475,418103.977,4253340.8,326.4604,9.838325,0.003253507,Conductive fracture
4503.657226,418103.977,4253340.8,291.9238,39.41258,0.00326017,Conductive fracture
4523.840305,418103.977,4253340.8,263.717,46.23753,0.00327938,Conductive fracture
4716.604771,418103.977,4253340.8,209.6626,24.52458,0.003279894,Conductive fracture
