iter	RMSE
0	80.67034033
1	66.01788806
2	54.93817611
3	44.73228657
4	36.92843055
5	30.7424654
6	25.87688143
7	21.87098343
8	18.6331138
9	16.14926038
10	13.97740199
11	12.2947053
12	10.83641997
13	9.728191285
14	8.934836414
15	8.142230872
16	7.585501088
17	7.11270149
18	6.809717625
19	6.46537466
20	6.2192864
21	6.047924709
22	5.917821942
23	5.778418357
24	5.707578074
25	5.591204301
26	5.515441612
27	5.418849502
28	5.325667869
29	5.249568299
30	5.184625898
31	5.075927702
32	5.02270788
33	4.971142336
34	4.921749532
35	4.867207734
36	4.838382035
37	4.763534517
38	4.712341435
39	4.644666163
40	4.623742543
41	4.584162951
42	4.549249673
43	4.529161106
44	4.49013382
45	4.46814862
46	4.436765605
47	4.405749654
48	4.329527449
49	4.299072632
50	4.264730107
51	4.204311202
52	4.189294947
53	4.1770793
54	4.149355793
55	4.107858639
56	4.087384248
57	4.054626291
58	4.044567515
59	4.007514998
60	3.998512231
61	3.971654865
62	3.929770625
63	3.896625532
64	3.885576526
65	3.876638084
66	3.857020882
67	3.807324603
68	3.778089918
69	3.690617969
70	3.650050553
71	3.63225044
72	3.625512645
73	3.597893165
74	3.584194377
75	3.555367194
76	3.531662323
77	3.510387742
78	3.494463913
79	3.48131434
80	3.419727068
81	3.373479286
82	3.339003479
83	3.331834325
84	3.320222847
85	3.295584199
86	3.268592019
87	3.254548712
88	3.247398367
89	3.221075375
90	3.208357626
91	3.187542395
92	3.18363231
93	3.175730682
94	3.165459706
95	3.123007034
96	3.116622291
97	3.09481461
98	3.087677787
99	3.06152985
100	3.044338004
101	3.035533813
102	3.004953479
103	2.982086974
104	2.971585481
105	2.961401901
106	2.951110045
107	2.942931218
108	2.931697146
109	2.925228289
110	2.922281053
111	2.907606687
112	2.872409026
113	2.86325796
114	2.845403555
115	2.834385796
116	2.824353903
117	2.808629605
118	2.80226028
119	2.795137123
120	2.789630229
121	2.779256032
122	2.76917678
123	2.756651162
124	2.73748601
125	2.734059623
126	2.719519661
127	2.706574391
128	2.687535749
129	2.675633847
130	2.666234241
131	2.654420868
132	2.643163945
133	2.614186177
134	2.590737663
135	2.58246942
136	2.564106436
137	2.559805224
138	2.552702919
139	2.537536547
140	2.524752265
141	2.51729755
142	2.513624731
143	2.511214787
144	2.504594568
145	2.497524997
146	2.493773741
147	2.484551363
148	2.481706162
149	2.477594585
150	2.471215181
151	2.462757417
152	2.453223031
153	2.444129808
154	2.436427903
155	2.429053956
156	2.416907133
157	2.402266602
158	2.397484919
159	2.387749826
160	2.36808548
161	2.360589233
162	2.353856239
163	2.342597834
164	2.331778919
165	2.323892442
166	2.315036323
167	2.309137944
168	2.29844719
169	2.294832173
170	2.279800012
171	2.273061942
172	2.263399864
173	2.25694063
174	2.252401653
175	2.250631962
176	2.241644318
177	2.229553304
178	2.22186336
179	2.214217477
180	2.203459696
181	2.1899369
182	2.182176172
183	2.175396306
184	2.162388544
185	2.159803745
186	2.152816117
187	2.146722687
188	2.140822008
189	2.137323429
190	2.134235543
191	2.126491067
192	2.119587803
193	2.113781108
194	2.102884946
195	2.099746436
196	2.08703578
197	2.083773953
198	2.080263949
199	2.074024761
