iter	Passed	Remaining
0	138	27462
1	138	13736
2	139	9159
3	140	6865
4	140	5492
5	141	4573
6	142	3917
7	142	3427
8	143	3042
9	144	2736
10	144	2488
11	145	2280
12	146	2102
13	146	1949
14	147	1817
15	148	1702
16	148	1601
17	149	1511
18	150	1430
19	151	1359
20	151	1293
21	152	1232
22	152	1177
23	153	1126
24	154	1079
25	154	1036
26	155	995
27	156	958
28	156	923
29	157	890
30	157	860
31	158	831
32	159	805
33	159	780
34	160	756
35	161	734
36	161	712
37	162	693
38	163	674
39	164	656
40	164	638
41	165	622
42	166	606
43	166	590
44	167	576
45	167	562
46	168	549
47	169	536
48	169	523
49	170	511
50	171	500
51	171	489
52	172	478
53	173	467
54	173	457
55	174	448
56	175	439
57	175	430
58	176	421
59	177	413
60	177	405
61	178	397
62	179	390
63	180	382
64	180	375
65	181	368
66	182	361
67	182	354
68	183	348
69	184	342
70	184	335
71	185	329
72	186	323
73	186	318
74	187	312
75	188	307
76	189	302
77	190	297
78	190	292
79	191	287
80	192	282
81	193	278
82	194	273
83	194	268
84	195	264
85	196	260
86	196	255
87	197	251
88	198	247
89	199	243
90	199	239
91	200	235
92	201	231
93	201	227
94	202	224
95	203	220
96	204	216
97	204	213
98	205	209
99	206	206
100	207	203
101	208	199
102	208	196
103	209	193
104	210	190
105	211	187
106	212	184
107	212	181
108	213	178
109	214	175
110	215	172
111	216	169
112	216	167
113	217	164
114	218	161
115	219	158
116	220	156
117	220	153
118	221	150
119	222	148
120	223	145
121	223	143
122	224	140
123	225	138
124	226	135
125	226	133
126	227	130
127	228	128
128	229	126
129	229	123
130	230	121
131	231	119
132	232	116
133	232	114
134	233	112
135	234	110
136	235	108
137	235	105
138	236	103
139	237	101
140	238	99
141	239	97
142	239	95
143	240	93
144	241	91
145	241	89
146	242	87
147	243	85
148	244	83
149	244	81
150	245	79
151	246	77
152	246	75
153	247	73
154	248	72
155	249	70
156	249	68
157	250	66
158	251	64
159	251	62
160	252	61
161	253	59
162	253	57
163	254	55
164	255	54
165	256	52
166	256	50
167	257	49
168	258	47
169	259	45
170	260	44
171	260	42
172	261	40
173	262	39
174	263	37
175	264	36
176	264	34
177	265	32
178	266	31
179	266	29
180	267	28
181	268	26
182	269	25
183	270	23
184	271	21
185	271	20
186	272	18
187	273	17
188	274	15
189	274	14
190	275	12
191	276	11
192	277	10
193	278	8
194	279	7
195	279	5
196	280	4
197	281	2
198	282	1
199	283	0
